t,x,y,z
56.71,-2.64897,-0.917758,23.6668
56.72,-2.48945,-1.02691,23.0686
56.73,-2.35581,-1.14243,22.4875
56.74,-2.24616,-1.26361,21.923
56.75,-2.15874,-1.3901,21.3749
56.76,-2.09192,-1.52189,20.843
56.77,-2.04428,-1.65923,20.3269
56.78,-2.01452,-1.80262,19.8267
56.79,-2.00156,-1.95275,19.3421
56.8,-2.00448,-2.11046,18.8733
56.81,-2.02254,-2.27678,18.4202
56.82,-2.05517,-2.45284,17.983
56.83,-2.10197,-2.6399,17.562
56.84,-2.1627,-2.83933,17.1575
56.85,-2.23729,-3.0526,16.7699
56.86,-2.32582,-3.28132,16.3999
56.87,-2.42849,-3.52715,16.0482
56.88,-2.54569,-3.79188,15.7156
56.89,-2.67792,-4.0774,15.4035
56.9,-2.82582,-4.38566,15.113
56.91,-2.99017,-4.7187,14.8459
56.92,-3.17185,-5.07865,14.6041
56.93,-3.37188,-5.46764,14.39
56.94,-3.59139,-5.88784,14.2064
56.95,-3.83159,-6.34134,14.0565
56.96,-4.09379,-6.83017,13.944
56.97,-4.37933,-7.35615,13.8736
56.98,-4.68961,-7.92078,13.8503
56.99,-5.02602,-8.52513,13.8799
57,-5.38986,-9.16965,13.9693
57.01,-5.78235,-9.8539,14.126
57.02,-6.20446,-10.5763,14.3585
57.03,-6.65688,-11.3338,14.6758
57.04,-7.13984,-12.1216,15.0881
57.05,-7.65299,-12.9324,15.6056
57.06,-8.19519,-13.7562,16.2387
57.07,-8.7643,-14.58,16.9974
57.08,-9.35699,-15.387,17.8904
57.09,-9.96844,-16.1567,18.9245
57.1,-10.5922,-16.8645,20.1026
57.11,-11.2198,-17.4825,21.4235
57.12,-11.8409,-17.98,22.8793
57.13,-12.4431,-18.3248,24.4548
57.14,-13.0122,-18.4857,26.1259
57.15,-13.5324,-18.4343,27.8596
57.16,-13.987,-18.1491,29.6139
57.17,-14.3593,-17.6176,31.3398
57.18,-14.6337,-16.8398,32.9837
57.19,-14.7965,-15.8292,34.4915
57.2,-14.8374,-14.6137,35.8129
57.21,-14.7505,-13.2338,36.9059
57.22,-14.5346,-11.7396,37.7411
57.23,-14.1937,-10.1862,38.3032
57.24,-13.7368,-8.62911,38.5923
57.25,-13.1772,-7.1194,38.6224
57.26,-12.5312,-5.69994,38.4186
57.27,-11.8173,-4.4032,38.0137
57.28,-11.0548,-3.25037,37.4444
57.29,-10.2626,-2.2519,36.7475
57.3,-9.45827,-1.40894,35.9577
57.31,-8.65758,-0.71536,35.1056
57.32,-7.87386,-0.159863,34.2169
57.33,-7.11797,0.272034,33.3118
57.34,-6.39824,0.596331,32.4059
57.35,-5.72069,0.829258,31.5103
57.36,-5.08924,0.986379,30.6325
57.37,-4.50601,1.082,29.7773
57.38,-3.97163,1.12889,28.9475
57.39,-3.48555,1.13809,28.144
57.4,-3.04628,1.11903,27.367
57.41,-2.65168,1.07951,26.616
57.42,-2.29911,1.02595,25.8899
57.43,-1.98566,0.963486,25.1876
57.44,-1.70824,0.896178,24.5079
57.45,-1.46373,0.827163,23.8495
57.46,-1.24905,0.758807,23.2113
57.47,-1.06119,0.692848,22.5923
57.48,-0.897318,0.630513,21.9914
57.49,-0.754765,0.57262,21.4078
57.5,-0.631049,0.519671,20.8407
57.51,-0.523896,0.471922,20.2895
57.52,-0.431228,0.429443,19.7535
57.53,-0.351169,0.392172,19.2321
57.54,-0.282029,0.359956,18.7249
57.55,-0.222298,0.332578,18.2313
57.56,-0.170633,0.309786,17.7509
57.57,-0.125842,0.291316,17.2834
57.58,-0.0868724,0.276901,16.8283
57.59,-0.0527976,0.266286,16.3853
57.6,-0.0228014,0.259237,15.954
57.61,0.00383341,0.255544,15.5342
57.62,0.0277371,0.255028,15.1254
57.63,0.0494647,0.257542,14.7275
57.64,0.0695058,0.262976,14.3401
57.65,0.0882949,0.271252,13.963
57.66,0.106219,0.282332,13.5958
57.67,0.123628,0.296211,13.2384
57.68,0.140837,0.312924,12.8904
57.69,0.158139,0.332543,12.5517
57.7,0.175806,0.355176,12.222
57.71,0.194097,0.380973,11.901
57.72,0.213263,0.410121,11.5887
57.73,0.233551,0.442853,11.2847
57.74,0.255207,0.479441,10.9888
57.75,0.278483,0.520206,10.701
57.76,0.30364,0.565518,10.4209
57.77,0.330952,0.6158,10.1486
57.78,0.36071,0.671532,9.88372
57.79,0.393224,0.733255,9.62625
57.8,0.428833,0.801582,9.37605
57.81,0.467901,0.877196,9.13304
57.82,0.510831,0.960866,8.89715
57.83,0.558062,1.05345,8.66834
57.84,0.610078,1.1559,8.4466
57.85,0.667413,1.26929,8.23197
57.86,0.730659,1.3948,8.02454
57.87,0.80047,1.53376,7.82444
57.88,0.877571,1.68764,7.63187
57.89,0.962766,1.85807,7.44714
57.9,1.05694,2.04687,7.27062
57.91,1.1611,2.25603,7.10283
57.92,1.27632,2.48779,6.94444
57.93,1.40382,2.74461,6.79628
57.94,1.54494,3.02917,6.65943
57.95,1.70118,3.34446,6.53521
57.96,1.87417,3.69372,6.42529
57.97,2.06572,4.08051,6.33174
57.98,2.27782,4.50865,6.25713
57.99,2.51265,4.98229,6.20459
58,2.77258,5.5058,6.17802
58.01,3.06019,6.0838,6.18215
58.02,3.37826,6.72105,6.22278
58.03,3.72976,7.42234,6.30695
58.04,4.11784,8.1923,6.44319
58.05,4.54576,9.03516,6.64174
58.06,5.01683,9.95437,6.91484
58.07,5.53434,10.9522,7.27696
58.08,6.10137,12.0288,7.74507
58.09,6.72063,13.1819,8.33869
58.1,7.39415,14.405,9.07992
58.11,8.12293,15.6869,9.99313
58.12,8.90648,17.0094,11.1042
58.13,9.74225,18.346,12.4394
58.14,10.6249,19.6604,14.023
58.15,11.5458,20.905,15.8747
58.16,12.4917,22.0205,18.0053
58.17,13.4446,22.9366,20.4121
58.18,14.3813,23.5752,23.0732
58.19,15.273,23.8557,25.9426
58.2,16.0861,23.7037,28.9474
58.21,16.7839,23.0617,31.987
58.22,17.3293,21.9003,34.9389
58.23,17.6873,20.229,37.6684
58.24,17.8295,18.1006,40.0442
58.25,17.7372,15.61,41.9553
58.26,17.4043,12.8842,43.3262
58.27,16.838,10.0661,44.1274
58.28,16.0587,7.29652,44.3757
58.29,15.0973,4.69663,44.1288
58.3,13.9921,2.35689,43.4719
58.31,12.7843,0.332243,42.5034
58.32,11.515,-1.35609,41.3216
58.33,10.2219,-2.71453,40.0142
58.34,8.93754,-3.76905,38.6536
58.35,7.68828,-4.55721,37.2942
58.36,6.49406,-5.12145,35.9739
58.37,5.36891,-5.50424,34.7163
58.38,4.32156,-5.74497,33.534
58.39,3.35643,-5.87836,32.4318
58.4,2.47442,-5.93383,31.4088
58.41,1.67384,-5.93564,30.4613
58.42,0.951063,-5.9033,29.5835
58.43,0.301159,-5.85222,28.7691
58.44,-0.281626,-5.79437,28.0118
58.45,-0.8035,-5.7389,27.3059
58.46,-1.27083,-5.69272,26.6462
58.47,-1.68996,-5.66091,26.0281
58.48,-2.06703,-5.64718,25.4482
58.49,-2.40789,-5.65418,24.9035
58.5,-2.71806,-5.68371,24.3917
58.51,-3.00266,-5.73697,23.9111
58.52,-3.26643,-5.81471,23.4607
58.53,-3.5137,-5.91732,23.0396
58.54,-3.74841,-6.04497,22.6477
58.55,-3.97414,-6.19765,22.285
58.56,-4.19413,-6.3752,21.9519
58.57,-4.41127,-6.57737,21.6493
58.58,-4.62816,-6.80381,21.378
58.59,-4.84712,-7.05408,21.1394
58.6,-5.07019,-7.32761,20.935
58.61,-5.29916,-7.62369,20.7665
58.62,-5.53557,-7.94143,20.6361
58.63,-5.78072,-8.27971,20.5459
58.64,-6.03568,-8.63711,20.4984
58.65,-6.30123,-9.01185,20.4962
58.66,-6.57793,-9.40172,20.5419
58.67,-6.86602,-9.80399,20.6384
58.68,-7.16545,-10.2153,20.7884
58.69,-7.4758,-10.6317,20.9945
58.7,-7.7963,-11.0484,21.259
58.71,-8.12575,-11.4598,21.584
58.72,-8.46249,-11.8596,21.9706
58.73,-8.80438,-12.2406,22.4194
58.74,-9.14876,-12.5947,22.9299
58.75,-9.49242,-12.9134,23.5002
58.76,-9.83163,-13.1877,24.1267
58.77,-10.1621,-13.4082,24.8045
58.78,-10.4792,-13.566,25.5263
58.79,-10.7777,-13.6527,26.2829
58.8,-11.0524,-13.6609,27.0634
58.81,-11.2976,-13.585,27.8547
58.82,-11.5081,-13.4213,28.6423
58.83,-11.6786,-13.1688,29.4108
58.84,-11.8047,-12.8295,30.1443
58.85,-11.8825,-12.4081,30.827
58.86,-11.9091,-11.9126,31.4443
58.87,-11.8828,-11.3534,31.9834
58.88,-11.8033,-10.7434,32.4337
58.89,-11.6714,-10.0969,32.7877
58.9,-11.4893,-9.429,33.041
58.91,-11.2606,-8.75494,33.1923
58.92,-10.9899,-8.08916,33.2435
58.93,-10.6824,-7.44472,33.1992
58.94,-10.3444,-6.83286,33.066
58.95,-9.98232,-6.26261,32.8523
58.96,-9.60269,-5.74073,32.5674
58.97,-9.21206,-5.27174,32.2212
58.98,-8.81663,-4.85807,31.8235
58.99,-8.42218,-4.50031,31.3836
59,-8.03389,-4.1976,30.9105
59.01,-7.65633,-3.94786,30.412
59.02,-7.29338,-3.74822,29.8953
59.03,-6.94826,-3.59523,29.3663
59.04,-6.62353,-3.48519,28.8303
59.05,-6.32115,-3.41429,28.2917
59.06,-6.04254,-3.37882,27.7541
59.07,-5.78865,-3.3753,27.2207
59.08,-5.55999,-3.40053,26.6939
59.09,-5.35677,-3.45164,26.1758
59.1,-5.1789,-3.52617,25.6682
59.11,-5.0261,-3.62201,25.1725
59.12,-4.89791,-3.73744,24.6901
59.13,-4.7938,-3.87109,24.2222
59.14,-4.71316,-4.02192,23.7698
59.15,-4.65534,-4.1892,23.3339
59.16,-4.61973,-4.37247,22.9157
59.17,-4.6057,-4.57147,22.5161
59.18,-4.6127,-4.7862,22.1363
59.19,-4.64024,-5.01677,21.7775
59.2,-4.68788,-5.26345,21.4409
59.21,-4.75525,-5.52659,21.1279
59.22,-4.84206,-5.80662,20.8402
59.23,-4.9481,-6.10397,20.5794
59.24,-5.07319,-6.41903,20.3474
59.25,-5.21723,-6.75215,20.1462
59.26,-5.38015,-7.10353,19.9782
59.27,-5.56189,-7.47322,19.8459
59.28,-5.7624,-7.86099,19.752
59.29,-5.98157,-8.26632,19.6995
59.3,-6.21928,-8.68828,19.6914
59.31,-6.47527,-9.12546,19.7311
59.32,-6.74916,-9.57587,19.822
59.33,-7.04039,-10.0368,19.9677
59.34,-7.34814,-10.5049,20.1715
59.35,-7.67131,-10.9756,20.4367
59.36,-8.00845,-11.4438,20.7664
59.37,-8.35768,-11.903,21.1628
59.38,-8.71665,-12.3459,21.6277
59.39,-9.08248,-12.764,22.1616
59.4,-9.45171,-13.1479,22.7638
59.41,-9.82027,-13.4874,23.4319
59.42,-10.1835,-13.7718,24.1613
59.43,-10.5361,-13.9902,24.9455
59.44,-10.8723,-14.1322,25.7755
59.45,-11.1859,-14.1883,26.6396
59.46,-11.4706,-14.1505,27.5239
59.47,-11.7198,-14.0131,28.4122
59.48,-11.9272,-13.7732,29.287
59.49,-12.0872,-13.4314,30.1295
59.5,-12.1946,-12.9918,30.9209
59.51,-12.2455,-12.4624,31.6432
59.52,-12.2373,-11.8547,32.2804
59.53,-12.1688,-11.183,32.819
59.54,-12.0405,-10.464,33.249
59.55,-11.8545,-9.71578,33.5642
59.56,-11.6142,-8.95652,33.7623
59.57,-11.3248,-8.20379,33.8451
59.58,-10.9922,-7.47354,33.8176
59.59,-10.6235,-6.7795,33.6876
59.6,-10.226,-6.13273,33.4649
59.61,-9.80739,-5.54142,33.1609
59.62,-9.37527,-5.01095,32.7872
59.63,-8.93686,-4.5441,32.3557
59.64,-8.49885,-4.14139,31.8774
59.65,-8.06725,-3.8015,31.3628
59.66,-7.64731,-3.52169,30.821
59.67,-7.24347,-3.29824,30.2601
59.68,-6.85934,-3.12679,29.687
59.69,-6.49778,-3.00269,29.1075
59.7,-6.16092,-2.92126,28.5262
59.71,-5.85025,-2.87795,27.9472
59.72,-5.56669,-2.86853,27.3734
59.73,-5.3107,-2.88913,26.8074
59.74,-5.08234,-2.93636,26.2511
59.75,-4.88138,-3.00727,25.7063
59.76,-4.70733,-3.0994,25.1741
59.77,-4.55956,-3.21074,24.6558
59.78,-4.4373,-3.33969,24.1522
59.79,-4.33976,-3.48508,23.6643
59.8,-4.26609,-3.64608,23.1929
59.81,-4.21549,-3.82219,22.7387
59.82,-4.18718,-4.01319,22.3027
59.83,-4.18047,-4.21909,21.8856
59.84,-4.19471,-4.44013,21.4886
59.85,-4.22939,-4.67672,21.1125
59.86,-4.28405,-4.9294,20.7586
59.87,-4.35836,-5.19881,20.4282
59.88,-4.45208,-5.48568,20.1227
59.89,-4.56505,-5.79075,19.844
59.9,-4.69721,-6.11476,19.5938
59.91,-4.84857,-6.45839,19.3742
59.92,-5.0192,-6.82222,19.1876
59.93,-5.20922,-7.20668,19.0366
59.94,-5.41874,-7.61195,18.9241
59.95,-5.64789,-8.03794,18.8534
59.96,-5.89676,-8.48414,18.8278
59.97,-6.16535,-8.94956,18.8511
59.98,-6.45354,-9.43263,18.9273
59.99,-6.76104,-9.93103,19.0605
60,-7.08732,-10.4416,19.255
60.01,-7.43157,-10.9602,19.515
60.02,-7.79258,-11.4816,19.8445
60.03,-8.16874,-11.9992,20.2472
60.04,-8.55787,-12.5054,20.7259
60.05,-8.95721,-12.9909,21.2826
60.06,-9.36334,-13.4452,21.918
60.07,-9.77208,-13.8569,22.6308
60.08,-10.1785,-14.2132,23.4177
60.09,-10.577,-14.501,24.2728
60.1,-10.9611,-14.7073,25.1873
60.11,-11.3238,-14.8195,26.1491
60.12,-11.6577,-14.8267,27.1434
60.13,-11.955,-14.7203,28.1519
60.14,-12.2082,-14.4948,29.1544
60.15,-12.41,-14.1488,30.1286
60.16,-12.554,-13.6853,31.0517
60.17,-12.6348,-13.1123,31.9014
60.18,-12.6485,-12.4421,32.6573
60.19,-12.5931,-11.6914,33.302
60.2,-12.4684,-10.88,33.8221
60.21,-12.2764,-10.0294,34.2092
60.22,-12.0206,-9.16227,34.4598
60.23,-11.7068,-8.30016,34.5754
60.24,-11.3418,-7.46293,34.5618
60.25,-10.9339,-6.66758,34.4286
60.26,-10.4916,-5.92772,34.1881
60.27,-10.0241,-5.25328,33.8539
60.28,-9.54036,-4.65059,33.4405
60.29,-9.0489,-4.12267,32.9624
60.3,-8.55761,-3.66969,32.433
60.31,-8.07351,-3.28953,31.8646
60.32,-7.60267,-2.97838,31.2681
60.33,-7.15017,-2.73124,30.6527
60.34,-6.72008,-2.54245,30.0262
60.35,-6.31554,-2.40608,29.3949
60.36,-5.93881,-2.31621,28.7639
60.37,-5.5914,-2.26721,28.1371
60.38,-5.27416,-2.25388,27.5176
60.39,-4.98737,-2.27155,26.9079
60.4,-4.73088,-2.31612,26.3097
60.41,-4.5042,-2.3841,25.7243
60.42,-4.30657,-2.47257,25.1528
60.43,-4.13707,-2.57919,24.596
